UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:00 ?        00:00:12 /lib/systemd/systemd splash --system --deserialize 28
root           2       0  0 18:00 ?        00:00:00 [kthreadd]
root           3       2  0 18:00 ?        00:00:00 [rcu_gp]
root           4       2  0 18:00 ?        00:00:00 [rcu_par_gp]
root           6       2  0 18:00 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 18:00 ?        00:00:01 [kworker/u8:0-flush-8:0]
root           9       2  0 18:00 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 18:00 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 18:00 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 18:00 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 18:00 ?        00:00:01 [rcu_sched]
root          14       2  0 18:00 ?        00:00:00 [migration/0]
root          15       2  0 18:00 ?        00:00:00 [idle_inject/0]
root          16       2  0 18:00 ?        00:00:00 [cpuhp/0]
root          17       2  0 18:00 ?        00:00:00 [cpuhp/1]
root          18       2  0 18:00 ?        00:00:00 [idle_inject/1]
root          19       2  0 18:00 ?        00:00:00 [migration/1]
root          20       2  0 18:00 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 18:00 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 18:00 ?        00:00:00 [cpuhp/2]
root          24       2  0 18:00 ?        00:00:00 [idle_inject/2]
root          25       2  0 18:00 ?        00:00:00 [migration/2]
root          26       2  0 18:00 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 18:00 ?        00:00:00 [kworker/2:0H-events_highpri]
root          29       2  0 18:00 ?        00:00:00 [cpuhp/3]
root          30       2  0 18:00 ?        00:00:00 [idle_inject/3]
root          31       2  0 18:00 ?        00:00:00 [migration/3]
root          32       2  0 18:00 ?        00:00:00 [ksoftirqd/3]
root          34       2  0 18:00 ?        00:00:00 [kworker/3:0H-events_highpri]
root          35       2  0 18:00 ?        00:00:00 [kdevtmpfs]
root          36       2  0 18:00 ?        00:00:00 [netns]
root          37       2  0 18:00 ?        00:00:00 [inet_frag_wq]
root          38       2  0 18:00 ?        00:00:00 [kauditd]
root          39       2  0 18:00 ?        00:00:00 [khungtaskd]
root          40       2  0 18:00 ?        00:00:00 [oom_reaper]
root          41       2  0 18:00 ?        00:00:00 [writeback]
root          42       2  0 18:00 ?        00:00:00 [kcompactd0]
root          43       2  0 18:00 ?        00:00:00 [ksmd]
root          44       2  0 18:00 ?        00:00:00 [khugepaged]
root          49       2  0 18:00 ?        00:00:00 [kworker/2:1-events]
root          91       2  0 18:00 ?        00:00:00 [kintegrityd]
root          92       2  0 18:00 ?        00:00:00 [kblockd]
root          93       2  0 18:00 ?        00:00:00 [blkcg_punt_bio]
root          94       2  0 18:00 ?        00:00:00 [tpm_dev_wq]
root          95       2  0 18:00 ?        00:00:00 [ata_sff]
root          96       2  0 18:00 ?        00:00:00 [md]
root          97       2  0 18:00 ?        00:00:00 [edac-poller]
root          98       2  0 18:00 ?        00:00:00 [devfreq_wq]
root          99       2  0 18:00 ?        00:00:00 [watchdogd]
root         101       2  0 18:00 ?        00:00:01 [kworker/0:1H-kblockd]
root         103       2  0 18:00 ?        00:00:00 [kswapd0]
root         104       2  0 18:00 ?        00:00:00 [ecryptfs-kthrea]
root         107       2  0 18:00 ?        00:00:00 [kthrotld]
root         108       2  0 18:00 ?        00:00:00 [acpi_thermal_pm]
root         109       2  0 18:00 ?        00:00:01 [kworker/u8:2-events_unbound]
root         110       2  0 18:00 ?        00:00:00 [vfio-irqfd-clea]
root         111       2  0 18:00 ?        00:00:00 [kworker/1:1-events]
root         113       2  0 18:00 ?        00:00:00 [mld]
root         114       2  0 18:00 ?        00:00:00 [kworker/2:1H-kblockd]
root         115       2  0 18:00 ?        00:00:00 [ipv6_addrconf]
root         124       2  0 18:00 ?        00:00:00 [kstrp]
root         127       2  0 18:00 ?        00:00:00 [zswap-shrink]
root         128       2  0 18:00 ?        00:00:00 [kworker/u9:0]
root         135       2  0 18:00 ?        00:00:00 [charger_manager]
root         174       2  0 18:00 ?        00:00:00 [cryptd]
root         176       2  0 18:00 ?        00:00:00 [hv_vmbus_con]
root         177       2  0 18:00 ?        00:00:00 [hv_pri_chan]
root         178       2  0 18:00 ?        00:00:00 [hv_sub_chan]
root         180       2  0 18:00 ?        00:00:00 [kworker/0:2-events]
root         202       2  0 18:00 ?        00:00:00 [scsi_eh_0]
root         203       2  0 18:00 ?        00:00:00 [scsi_tmf_0]
root         204       2  0 18:00 ?        00:00:00 [storvsc_error_w]
root         207       2  0 18:00 ?        00:00:00 [kworker/3:1H-kblockd]
root         208       2  0 18:00 ?        00:00:00 [kworker/1:1H-kblockd]
root         284       2  0 18:00 ?        00:00:03 [jbd2/sda1-8]
root         285       2  0 18:00 ?        00:00:00 [ext4-rsv-conver]
root         367       2  0 18:00 ?        00:00:00 [ipmi-msghandler]
root         380       2  0 18:00 ?        00:00:00 [kworker/3:3-events]
root         398       2  0 18:00 ?        00:00:00 [hv_balloon]
root         524       1  0 18:00 ?        00:00:00 /usr/sbin/acpid
avahi        526       1  0 18:00 ?        00:00:00 avahi-daemon: running [ldrury-Virtual-Machine.local]
message+     527       1  0 18:00 ?        00:00:05 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         540       1  0 18:00 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         545       1  0 18:00 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         550       1  0 18:00 ?        00:00:07 /usr/libexec/polkitd --no-debug
root         554       1  0 18:00 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         572       1  0 18:00 ?        00:00:00 /usr/sbin/cron -f -P
root         573       1  0 18:00 ?        00:00:00 /usr/libexec/switcheroo-control
root         575       1  0 18:00 ?        00:00:01 /lib/systemd/systemd-logind
root         578       1  0 18:00 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi        591     526  0 18:00 ?        00:00:00 avahi-daemon: chroot helper
